Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1122;24094;"Acta Mathematica Academiae Paedagogicae Nyiregyhaziensis";journal;"08660182, 17860091";0,138;Q4;13;0;42;0;8;41;0,07;0,00;Hungary;Eastern Europe;"Nyregyhazi Foiskola/College of Nyregyhaza";"1998, 2000-2017";"Education (Q4); Mathematics (miscellaneous) (Q4)"
1123;21100784750;"Bridge";journal;"07376278";0,138;Q4;4;45;109;775;39;38;0,71;17,22;United States;Northern America;"National Academy of Sciences";"2016-2019";"Engineering (miscellaneous) (Q3); Computer Science (miscellaneous) (Q4); Education (Q4); Energy (miscellaneous) (Q4)"
1124;21100448566;"Journal of Information Technology Teaching Cases";journal;"20438869";0,138;Q4;4;1;45;0;35;45;0,64;0,00;Switzerland;Western Europe;"Springer International Publishing AG";"2014-2019";"Education (Q4); Library and Information Sciences (Q4)"
1125;20600195505;"Nordic Studies in Education";journal;"18915949, 18915914";0,138;Q4;7;12;65;495;22;56;0,27;41,25;Norway;Western Europe;"Universitetsforlaget AS";"2012-2019";"Education (Q4)"
1126;21100888252;"Perspektivy Nauki i Obrazovania";journal;"23072334";0,138;Q4;3;222;269;5471;45;269;0,17;24,64;Russian Federation;Eastern Europe;"LLC "Ecological Help"";"2018-2019";"Philosophy (Q3); Education (Q4)"
1127;5700169133;"The French Review";journal;"0016111X";0,138;Q4;8;56;112;1231;5;103;0,05;21,98;United States;Northern America;"Southern Illinois University";"2002-2019";"Literature and Literary Theory (Q1); Cultural Studies (Q2); Language and Linguistics (Q3); Linguistics and Language (Q3); Education (Q4)"
1128;21100899640;"Educational Research for Social Change";journal;"22214070";0,137;Q4;2;13;25;461;12;21;0,57;35,46;South Africa;Africa;"Nelson Mandela University,Faculty of Education";"2018-2019";"Sociology and Political Science (Q3); Education (Q4)"
1129;21100792755;"Proceedings - 2016 3rd International Conference on Trustworthy Systems and Their Applications, TSA 2016";conference and proceedings;"-";0,137;-;2;0;27;0;14;24;0,00;0,00;United States;Northern America;"";"";"Chemical Engineering (miscellaneous); Education; Engineering (miscellaneous)"
1130;21100898103;"RAUSP Management Journal";journal;"25310488";0,137;Q4;3;44;20;2194;10;18;0,56;49,86;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2018-2020";"Business, Management and Accounting (miscellaneous) (Q4); Education (Q4)"
1131;21100801701;"River Flow - Proceedings of the International Conference on Fluvial Hydraulics, RIVER FLOW 2016";conference and proceedings;"-";0,137;-;5;0;344;0;56;342;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Networks and Communications; Computer Science Applications; Education; Human-Computer Interaction; Information Systems"
1132;4100151538;"Advances in Early Education and Day Care";book series;"02704021";0,136;Q4;8;0;9;0;3;8;0,00;0,00;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2001, 2003-2005, 2011-2016";"Education (Q4)"
1133;21100201720;"Education Therapeutique du Patient";journal;"21000816, 21000808";0,136;Q4;10;12;48;168;17;45;0,26;14,00;France;Western Europe;"EDP Sciences";"2009-2019";"Education (Q4); Public Health, Environmental and Occupational Health (Q4)"
1134;12822;"Chinese Education and Society";journal;"19447116, 10611932";0,135;Q4;13;23;108;406;33;97;0,17;17,65;United States;Northern America;"M.E. Sharpe Inc.";"1993-1997, 1999-2020";"Education (Q4); Sociology and Political Science (Q4)"
1135;21100461903;"BMEiCON 2015 - 8th Biomedical Engineering International Conference";conference and proceedings;"-";0,134;-;4;0;74;0;25;69;0,00;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Computer Science Applications; Education"
1136;19700177335;"Didactica Slovenica - Pedagoska Obzorja";journal;"03531392";0,134;Q4;5;8;96;239;11;96;0,14;29,88;Slovenia;Eastern Europe;"Pedagogical Horizons Ltd.";"2008-2019";"Education (Q4)"
1137;21100897782;"Education and Culture";journal;"10854908, 15591786";0,134;Q4;1;9;11;301;3;8;0,38;33,44;United States;Northern America;"Purdue University Press";"2018-2019";"Cultural Studies (Q2); History (Q2); Philosophy (Q3); Education (Q4)"
1138;21100810622;"National Radio Science Conference, NRSC, Proceedings";conference and proceedings;"-";0,134;-;5;0;61;0;42;59;0,71;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Computer Science Applications; Education; Software"
1139;21100797228;"Proceedings - 2016 International Conference on Agents, ICA 2016";conference and proceedings;"-";0,134;-;3;0;43;0;13;40;0,33;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Networks and Communications; Computer Science Applications; Education"
1140;19300157035;"Journal of Economics and Economic Education Research (discontinued)";journal;"15333590, 15333604";0,133;Q4;7;0;107;0;34;107;0,00;0,00;United States;Northern America;"Allied Academies";"2008-2016";"Economics, Econometrics and Finance (miscellaneous) (Q4); Education (Q4)"
1141;19700188329;"Geography Teacher";journal;"17526884, 19338341";0,132;Q4;4;32;89;183;28;45;0,81;5,72;United States;Northern America;"Routledge";"2010-2020";"Earth and Planetary Sciences (miscellaneous) (Q4); Education (Q4)"
1142;21100463143;"2016 Cybernetics and Informatics, K and I 2016 - Proceedings of the 28th International Conference";conference and proceedings;"-";0,131;-;4;0;45;0;23;44;0,00;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Computer Science Applications; Education; Software"
1143;21100902661;"Acta Scientiae";journal;"15174492, 21787727";0,131;Q4;1;61;64;1557;3;64;0,05;25,52;Brazil;Latin America;"Lutheran University of Brazil";"2018-2019";"Education (Q4); Multidisciplinary (Q4)"
1144;21100198426;"College Mathematics Journal";journal;"07468342, 19311346";0,131;Q4;6;48;192;305;19;169;0,13;6,35;United States;Northern America;"Mathematical Association of America";"1997, 2009-2020";"Education (Q4); Mathematics (miscellaneous) (Q4)"
1145;21100863712;"English Australia Journal";journal;"22026169, 14444496";0,131;Q4;1;0;23;0;2;21;0,10;0,00;Australia;Pacific Region;"English Australia Ltd.";"2018";"Language and Linguistics (Q3); Linguistics and Language (Q3); Education (Q4)"
1146;21100468953;"Institute of Navigation International Technical Meeting 2016, ITM 2016";conference and proceedings;"-";0,131;-;7;0;110;0;44;108;0,00;0,00;United States;Northern America;"";"";"Biomedical Engineering; Computer Science Applications; Education; Engineering (miscellaneous); Health Informatics; Instrumentation"
1147;21100236814;"Ubiquitous Learning";journal;"18359795";0,131;Q4;8;16;33;688;7;33;0,17;43,00;United States;Northern America;"Common Ground Research Networks";"2009-2020";"Computer Science (miscellaneous) (Q4); Education (Q4); E-learning (Q4)"
1148;20500195432;"Asia Pacific Conference on Postgraduate Research in Microelectronics and Electronics";conference and proceedings;"21592144";0,130;-;7;17;86;173;31;80;0,46;10,18;United States;Northern America;"";"21592144";"Education; Electrical and Electronic Engineering; Hardware and Architecture"
1149;21100374322;"Synergies Europe";journal;"2260653X, 19516088";0,130;Q4;2;3;35;90;2;33;0,08;30,00;France;Western Europe;"GERFLINT (Groupe d'Etudes et de Recherches pour le Francais Langue Internationale)";"2013-2019";"Language and Linguistics (Q3); Linguistics and Language (Q3); Education (Q4)"
1150;21100889438;"International Journal of Pluralism and Economics Education";journal;"17575656, 17575648";0,129;Q4;1;20;24;706;4;24;0,17;35,30;Switzerland;Western Europe;"Inderscience Enterprises Ltd.";"2018-2019";"Economics, Econometrics and Finance (miscellaneous) (Q4); Education (Q4); Sociology and Political Science (Q4)"
1151;21100457326;"1st International Conference on Computer and Information Engineering, ICCIE 2015";conference and proceedings;"-";0,128;-;5;0;45;0;19;36;0,00;0,00;United States;Northern America;"";"";"Control and Systems Engineering; Education; Electrical and Electronic Engineering; Energy Engineering and Power Technology"
1152;21100405446;"Journal of Assessment and Institutional Effectiveness";journal;"21606757, 21606765";0,128;Q4;2;6;17;178;3;14;0,20;29,67;United States;Northern America;"Penn State University Press";"2014-2017, 2019";"Education (Q4)"
1153;21100896882;"Journal of Educational and Social Research";journal;"2239978X, 22400524";0,128;Q4;3;76;39;2303;8;39;0,21;30,30;Poland;Eastern Europe;"Sciendo";"2018-2020";"Education (Q4); Social Sciences (miscellaneous) (Q4)"
1154;21100872050;"Korean Language in America";journal;"2374670X, 23320346";0,128;Q4;1;5;20;130;1;15;0,07;26,00;United States;Northern America;"Penn State University Press";"2017-2019";"Language and Linguistics (Q3); Linguistics and Language (Q3); Education (Q4)"
1155;5600155562;"Sciences de l'Education pour l'Ere Nouvelle";journal;"07559593";0,128;Q4;3;5;63;144;4;56;0,06;28,80;France;Western Europe;"Universite de Caen, Laboratoire de Psychopedagogie";"2011, 2013-2019";"Developmental and Educational Psychology (Q4); Education (Q4)"
1156;21100463075;"International Journal of Chinese Education";journal;"22125868, 2212585X";0,127;Q4;6;9;43;201;14;42;0,37;22,33;Netherlands;Western Europe;"Brill Academic Publishers";"2012-2020";"Education (Q4)"
1157;21100857775;"PNA";journal;"18873987";0,127;Q4;1;12;20;381;4;20;0,20;31,75;Spain;Western Europe;"Universidad de Granada, Grupo de Investigacion Didactica de la Matematica";"2017-2020";"Education (Q4); Mathematics (miscellaneous) (Q4)"
1158;21100780996;"Psychology, Journal of the Higher School of Economics";journal;"18138918";0,127;Q4;3;13;144;392;22;131;0,13;30,15;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2016-2019";"Cultural Studies (Q3); Education (Q4); Psychology (miscellaneous) (Q4)"
1159;19700181106;"Advanced Science Letters (discontinued)";journal;"19366612, 19367317";0,126;Q4;26;0;3761;0;1035;3731;0,27;0,00;United States;Northern America;"American Scientific Publishers";"2010-2017";"Engineering (miscellaneous) (Q3); Computer Science (miscellaneous) (Q4); Education (Q4); Energy (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4); Health (social science) (Q4); Mathematics (miscellaneous) (Q4)"
1160;21100902551;"International Electronic Journal of Environmental Education";journal;"21460329";0,126;Q4;1;12;8;499;2;8;0,25;41,58;Turkey;Middle East;"";"2018-2020";"Education (Q4); Environmental Science (miscellaneous) (Q4)"
1161;21100860144;"International Journal of Online Pedagogy and Course Design";journal;"21556873, 21556881";0,126;Q4;3;20;40;823;15;40;0,38;41,15;United States;Northern America;"IGI Global Publishing";"2017-2020";"Education (Q4)"
1162;21100792099;"International Sports Studies";journal;"14430770";0,126;Q4;1;10;27;448;2;24;0,06;44,80;Germany;Western Europe;"Logos Verlag Berlin GmbH";"2016-2019";"Applied Psychology (Q4); Education (Q4)"
1163;21100781901;"Proceedings of the IADC/SPE Asia Pacific Drilling Technology Conference, APDT";conference and proceedings;"-";0,126;-;2;0;11;0;7;11;0,00;0,00;United States;Northern America;"";"";"Computer Graphics and Computer-Aided Design; Computer Science Applications; Education"
1164;19500156802;"Turkish Online Journal of Educational Technology (discontinued)";journal;"13036521";0,126;Q4;31;0;1233;0;254;1232;0,22;0,00;Turkey;Middle East;"Sakarya University";"2008-2017";"Education (Q4); E-learning (Q4)"
1165;21100406879;"African Social Studies Series";book series;"15681203";0,125;Q4;8;0;13;0;0;1;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2007, 2009-2013, 2015, 2017-2018";"Anthropology (Q3); Education (Q4); Social Sciences (miscellaneous) (Q4)"
1166;21100266711;"Diversity in Higher Education";book series;"14793644";0,125;Q4;8;8;34;322;4;23;0,00;40,25;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2005, 2009, 2011-2016, 2019";"Education (Q4)"
1167;21100867459;"Educacion Matematica";journal;"24488089, 01878298";0,125;Q4;1;10;34;348;6;30;0,20;34,80;Mexico;Latin America;"Mexican Society for Research and Dissemination of Mathematics Education";"2018-2019";"Education (Q4); Mathematics (miscellaneous) (Q4)"
1168;5600152864;"Education et Societes";journal;"1373847X, 17821428";0,125;Q4;13;0;72;0;13;72;0,16;0,00;Belgium;Western Europe;"Boeck Universite";"2001-2018";"Education (Q4); Sociology and Political Science (Q4)"
1169;21100787774;"IHM 2016 - Actes de la 28ieme Conference Francophone sur l'Interaction Homme-Machine";conference and proceedings;"-";0,125;-;3;0;37;0;10;35;0,00;0,00;United States;Northern America;"";"";"Computational Theory and Mathematics; Computer Science Applications; Education; Software"
1170;21100773786;"Proceedings - 2015 8th International Conference on BioMedical Engineering and Informatics, BMEI 2015";conference and proceedings;"-";0,125;-;0;0;1;0;0;1;0,00;0,00;United States;Northern America;"";"";"Education; Electrical and Electronic Engineering; Hardware and Architecture"
1171;4700153512;"Research in the Sociology of Education";book series;"14793539";0,125;Q4;10;0;15;0;17;1;0,00;0,00;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2003, 2006, 2008, 2010, 2012, 2016, 2018";"Education (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
1172;5800156831;"RLA, Revista de linguistica teorica y aplicada";journal;"0033698X";0,125;Q4;11;0;46;0;6;41;0,07;0,00;Chile;Latin America;"Universidad de Concepcion";"2008-2018";"Language and Linguistics (Q3); Linguistics and Language (Q3); Education (Q4)"
1173;21100873477;"Studies in Writing";book series;"15726304";0,125;Q4;10;0;74;0;55;2;26,00;0,00;United Kingdom;Western Europe;"Brill Academic Publishers";"2006-2007, 2011-2012, 2014-2016, 2018";"Language and Linguistics (Q3); Linguistics and Language (Q3); Developmental and Educational Psychology (Q4); Education (Q4); Experimental and Cognitive Psychology (Q4)"
1174;21100842802;"Bulletin of Educational Research";journal;"10288708";0,124;Q4;1;11;25;566;2;25;0,08;51,45;Taiwan;Asiatic Region;"Department of Education, National Taiwan Normal University";"2017-2019";"Education (Q4)"
1175;19700175904;"Collegiate Aviation Review";journal;"15235955";0,124;Q4;4;21;21;480;5;18;0,31;22,86;United States;Northern America;"University Aviation Association";"2009-2020";"Education (Q4)"
1176;13411;"Current Issues in Education";journal;"1099839X";0,124;Q4;13;0;18;0;7;18;0,00;0,00;United States;Northern America;"Arizona State University";"2000-2006, 2008-2017";"Education (Q4)"
1177;19600162201;"Journal of Institutional Research South East Asia";journal;"16756061";0,124;Q4;4;11;61;300;5;54;0,10;27,27;Australia;Pacific Region;"SEAAIR,S. E. Asian Association for Institutional Res.";"2002-2019";"Education (Q4)"
1178;145057;"Multicultural Education";journal;"10683844";0,124;Q4;16;7;61;246;13;43;0,37;35,14;United States;Northern America;"Caddo Gap Press";"2005-2013, 2015-2019";"Cultural Studies (Q3); Linguistics and Language (Q3); Education (Q4)"
1179;4100151525;"Advances in Educational Administration";book series;"14793660";0,123;Q4;7;0;34;0;6;32;0,00;0,00;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2003-2004, 2006-2007, 2010-2017";"Education (Q4); Public Administration (Q4)"
1180;21100285431;"Bulletin of the Technical Committee on Learning Technology";trade journal;"23060212";0,123;Q4;8;0;11;0;3;11;0,00;0,00;Taiwan;Asiatic Region;"IEEE Technical Committee on Learning Technology";"2012-2016";"Computer Science Applications (Q4); Education (Q4)"
1181;21100220465;"International Journal of Knowledge and Learning";journal;"17411017, 17411009";0,123;Q4;21;5;43;263;22;41;0,70;52,60;Switzerland;Western Europe;"Inderscience Publishers";"2012, 2014-2019";"Education (Q4)"
1182;21100223785;"Pythagoras";journal;"22237895, 10122346";0,123;Q4;6;1;25;0;9;24;0,47;0,00;South Africa;Africa;"AOSIS (Pty) Ltd";"2012-2019";"Education (Q4); Mathematics (miscellaneous) (Q4)"
1183;21100777501;"Submarine Mass Movements and Their Consequences, 6th International Symposium";conference and proceedings;"-";0,123;-;4;0;57;0;10;55;0,00;0,00;Germany;Western Europe;"";"";"Artificial Intelligence; Education; Electrical and Electronic Engineering; Mechanical Engineering; Modeling and Simulation"
1184;21100898309;"Tuning Journal for Higher Education";journal;"23863137, 23408170";0,123;Q4;1;7;12;321;3;10;0,30;45,86;Spain;Western Europe;"University of Deusto";"2018-2019";"Education (Q4); Management of Technology and Innovation (Q4)"
